pair,sum_vol_slope,sum_vol_r2,sum_white_slope,sum_white_r2,svd_vol_slope,svd_vol_r2,svd_white_slope,svd_white_r2
EURUSD,-2.6089720423223387e-06,6.096045615977541e-05,-1.2914155786563785e-07,5.315947074757688e-07,1.4073532907270997e-06,3.863122921632378e-05,-6.834498083434074e-07,6.408690253667526e-05
GBPJPY,-2.7646364233997595e-07,6.284202150874663e-07,3.3713684937537564e-07,3.7635451755058114e-06,4.703632644694127e-08,4.065024394872552e-08,-2.6700965715817767e-07,9.878701863641481e-06
CHFJPY,-1.0032372725201937e-06,7.824553757695973e-06,3.6629543175130105e-08,3.2045084030762894e-08,4.818962337474879e-07,3.7848487789426954e-06,-3.5784476208661123e-07,1.3271689696559008e-05
